"Part";"Value";"Device";"Package";"Description";"CATEGORY";"COLOR";"DESCRIPTION";"FREQUENCY";"MANUFACTURER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"OPERATING_TEMP";"PART_STATUS";"POPULARITY";"RATING";"ROHS_COMPLIANT";"SERIES";"SUB-CATEGORY";"THERMALLOSS";"TOLERANCE";"TYPE";"VALUE";
"C1";"22pF";"CAPACITORCERAMIC-2.54MM";"CAP-THRU-2.54MM";"Capacitor - Generic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C2";"22pF";"CAPACITORCERAMIC-2.54MM";"CAP-THRU-2.54MM";"Capacitor - Generic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C3";"0.33uF";"CAPACITORCERAMIC-2.54MM";"CAP-THRU-2.54MM";"Capacitor - Generic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C4";"0.33uF";"CAPACITORCERAMIC-2.54MM";"CAP-THRU-2.54MM";"Capacitor - Generic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C5";"0.33uF";"CAPACITORCERAMIC-2.54MM";"CAP-THRU-2.54MM";"Capacitor - Generic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C6";"0.33uF";"CAPACITORCERAMIC-2.54MM";"CAP-THRU-2.54MM";"Capacitor - Generic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D1";"LED_RED";"LED_RADIAL_RED";"LEDRD254W60D565H860B";"LED - Generic";"Opto-Electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"LED";"";"";"";"LED_RED";
"IC1";"ATMEGA328";"ATMEGA328_DIP";"DIP1016W53P254L3467H457Q28B";"8-bit AVR Microcontroller with 32K Bytes In-System";"IC_Embedded";"";"";"";"Microchip Technologies";"";"ATmega328-PN";"";"";"–40 to +105°C";"Active";"";"";"";"";"Microcontroller";"";"";"";"ATMEGA328";
"IC2";"LM7805_TO220";"LM7805_TO220";"PMX42_TO220-NH";"5V Voltage Regulator";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC3";"7414";"74AC14N";"DIL14";"Hex schmitt trigger INVERTER";"IC_Logic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Inverter";"";"";"";"7414";
"J1";"";"DCJ0303";"DCJ0303";"DC POWER JACK";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"20";"";"";"";"";"";"";"";"";
"JP1";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"98";"";"";"";"";"";"";"";"";
"JP2";"JUMPER-COMBO_2_NO";"JUMPER-COMBO_2_NO";"COMBO-JUMPER_2_NO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP3";"JUMPER-COMBO_2_NO";"JUMPER-COMBO_2_NO";"COMBO-JUMPER_2_NO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP4";"JUMPER-COMBO_2_NO";"JUMPER-COMBO_2_NO";"COMBO-JUMPER_2_NO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP5";"JUMPER-COMBO_2_NO";"JUMPER-COMBO_2_NO";"COMBO-JUMPER_2_NO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R1";"10k";"R-US_AXIAL-7.2MM-PITCH";"RESAD724W46L381D178B";"Resistor Fixed - ANSI";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fixed";"";"";"";"";
"R2";"10k";"R-US_AXIAL-7.2MM-PITCH";"RESAD724W46L381D178B";"Resistor Fixed - ANSI";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fixed";"";"";"";"";
"R3";"1k";"R-US_AXIAL-7.2MM-PITCH";"RESAD724W46L381D178B";"Resistor Fixed - ANSI";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fixed";"";"";"";"";
"U$1";"PINHD-1X05_1X05M";"PINHD-1X05_1X05M";"1X05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$2";"PINHD-1X05_1X05M";"PINHD-1X05_1X05M";"1X05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$3";"PINHD-1X04_1X04M";"PINHD-1X04_1X04M";"1X04";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"XTAL1";"";"CRYSTAL_HC49-11.5L";"XTALRR488W45L1150T500H350B";"Crystal 2Pin - Generic";"Frequency-Source";"";"";"";"";"";"";"";"";"";"";"";"";"";"HC49";"Crystal-2Pin";"";"";"";"";
